in s,C1 in V
-2.96920E-05,1.21094E-03
-2.96912E-05,-1.83203E-02
-2.96912E-05,1.21094E-03
-2.96904E-05,-2.80859E-02
-2.96904E-05,-8.55469E-03
-2.96896E-05,-2.80859E-02
-2.96896E-05,-8.55469E-03
-2.96888E-05,-1.83203E-02
-2.96888E-05,-8.55469E-03
-2.96880E-05,-1.83203E-02
-2.96880E-05,-8.55469E-03
-2.96872E-05,-1.83203E-02
-2.96872E-05,1.21094E-03
-2.96864E-05,-8.55469E-03
-2.96864E-05,1.21094E-03
-2.96856E-05,-8.55469E-03
-2.96856E-05,1.21094E-03
-2.96848E-05,-2.80859E-02
-2.96848E-05,1.21094E-03
-2.96840E-05,-2.80859E-02
-2.96840E-05,1.21094E-03
-2.96832E-05,-2.80859E-02
-2.96832E-05,1.21094E-03
-2.96824E-05,-1.83203E-02
-2.96824E-05,1.21094E-03
