time (s),C1 (V)
-9.01E-07,2.07031E-03
-9.00E-07,1.18359E-02
-9.00E-07,-1.75E-02
-9.00E-07,5.08984E-02
-8.99E-07,2.16016E-02
-8.99E-07,2.16016E-02
-8.98E-07,2.07031E-03
-8.98E-07,2.07031E-03
-8.98E-07,2.07031E-03
-8.97E-07,-7.70E-03
-8.97E-07,2.07031E-03
-8.96E-07,-7.70E-03
-8.96E-07,2.07031E-03
-8.96E-07,2.07031E-03
-8.95E-07,-7.70E-03
-8.95E-07,2.07031E-03
-8.94E-07,2.07031E-03
-8.94E-07,-1.75E-02
-8.94E-07,2.07031E-03
-8.93E-07,1.18359E-02
-8.93E-07,-7.70E-03
-8.92E-07,-1.75E-02
-8.92E-07,1.18359E-02
-8.92E-07,2.16016E-02
-8.91E-07,2.16016E-02
-8.91E-07,2.07031E-03
-8.90E-07,-1.75E-02
-8.90E-07,2.07031E-03
-8.90E-07,1.18359E-02
-8.89E-07,1.18359E-02
-8.89E-07,2.07031E-03
-8.88E-07,1.18359E-02
-8.88E-07,2.16016E-02
-8.88E-07,5.08984E-02
-8.87E-07,1.18359E-02
-8.87E-07,-1.75E-02
-8.86E-07,1.18359E-02
-8.86E-07,-2.72E-02
-8.86E-07,-7.70E-03
-8.85E-07,2.07031E-03
-8.85E-07,-7.70E-03
-8.84E-07,1.18359E-02
-8.84E-07,2.07031E-03
-8.84E-07,2.07031E-03
-8.83E-07,1.18359E-02
-8.83E-07,-7.70E-03
-8.82E-07,-7.70E-03
-8.82E-07,-1.75E-02
-8.82E-07,2.07031E-03
-8.81E-07,1.18359E-02
-8.81E-07,1.18359E-02
-8.80E-07,1.18359E-02
-8.80E-07,1.18359E-02
-8.80E-07,2.16016E-02
-8.79E-07,3.13672E-02
-8.79E-07,2.07031E-03
-8.78E-07,-7.70E-03
-8.78E-07,1.18359E-02
-8.78E-07,4.11328E-02
-8.77E-07,-7.70E-03
-8.77E-07,3.13672E-02
-8.76E-07,-7.70E-03
-8.76E-07,1.18359E-02
-8.76E-07,1.18359E-02
-8.75E-07,4.11328E-02
-8.75E-07,2.16016E-02
-8.74E-07,-1.75E-02
-8.74E-07,2.16016E-02
-8.74E-07,3.13672E-02
-8.73E-07,-7.70E-03
-8.73E-07,2.07031E-03
-8.72E-07,2.16016E-02
-8.72E-07,1.18359E-02
-8.72E-07,1.18359E-02
-8.71E-07,2.16016E-02
-8.71E-07,2.07031E-03
-8.70E-07,4.11328E-02
-8.70E-07,4.11328E-02
-8.70E-07,3.13672E-02
-8.69E-07,1.18359E-02
-8.69E-07,1.18359E-02
-8.68E-07,2.07031E-03
-8.68E-07,2.16016E-02
-8.68E-07,-7.70E-03
-8.67E-07,2.16016E-02
-8.67E-07,1.18359E-02
-8.66E-07,-1.75E-02
-8.66E-07,1.18359E-02
-8.66E-07,5.08984E-02
-8.65E-07,-1.75E-02
-8.65E-07,2.07031E-03
-8.64E-07,-7.70E-03
-8.64E-07,-1.75E-02
-8.64E-07,4.11328E-02
-8.63E-07,1.18359E-02
-8.63E-07,-7.70E-03
-8.62E-07,2.07031E-03
-8.62E-07,1.18359E-02
-8.62E-07,2.07031E-03
-8.61E-07,-7.70E-03
-8.61E-07,-7.70E-03
-8.60E-07,2.07031E-03
-8.60E-07,-7.70E-03
-8.60E-07,1.18359E-02
-8.59E-07,3.13672E-02
-8.59E-07,-7.70E-03
-8.58E-07,1.18359E-02
-8.58E-07,2.16016E-02
-8.58E-07,1.18359E-02
-8.57E-07,-7.70E-03
-8.57E-07,2.16016E-02
-8.56E-07,1.18359E-02
-8.56E-07,-7.70E-03
-8.56E-07,1.18359E-02
-8.55E-07,1.18359E-02
-8.55E-07,2.07031E-03
-8.54E-07,4.11328E-02
-8.54E-07,-7.70E-03
-8.54E-07,1.18359E-02
-8.53E-07,-1.75E-02
-8.53E-07,2.07031E-03
-8.52E-07,2.07031E-03
